Product_Row_ID,Product_ID,Product_Name,Category_Row_ID,Category,Sub_Category
114,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",114,Office Supplies,Fasteners
118,FUR-TA-10001768,Hon Racetrack Conference Tables,118,Furniture,Tables
119,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,119,Office Supplies,Binders
120,FUR-FU-10002157,Artistic Insta-Plaque,120,Furniture,Furnishings
125,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,125,Furniture,Chairs
126,FUR-TA-10004534,Bevis 44 x 96 Conference Tables,126,Furniture,Tables
127,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",127,Office Supplies,Binders
129,FUR-CH-10001146,"Global Task Chair, Black",129,Furniture,Chairs
131,TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,131,Technology,Phones
134,OFF-PA-10001804,Xerox 195,134,Office Supplies,Paper
141,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",141,Furniture,Furnishings
142,OFF-AR-10000940,Newell 343,142,Office Supplies,Art
145,OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,145,Office Supplies,Appliances
146,OFF-ST-10003656,Safco Industrial Wire Shelving,146,Office Supplies,Storage
147,FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",147,Furniture,Furnishings
148,TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,148,Technology,Phones
152,OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,152,Office Supplies,Appliances
154,OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,154,Office Supplies,Paper
157,OFF-AR-10001547,Newell 311,157,Office Supplies,Art
158,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,158,Furniture,Chairs
159,OFF-LA-10002475,Avery 519,159,Office Supplies,Labels
161,OFF-PA-10002751,Xerox 1920,161,Office Supplies,Paper
162,TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,162,Technology,Accessories
163,OFF-EN-10001990,Staple envelope,163,Office Supplies,Envelopes
164,OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,164,Office Supplies,Binders
165,OFF-AR-10004441,BIC Brite Liner Highlighters,165,Office Supplies,Art
172,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",172,Office Supplies,Paper
175,OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,175,Office Supplies,Appliances
177,OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",177,Office Supplies,Appliances
178,FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",178,Furniture,Chairs
180,OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",180,Office Supplies,Art
181,OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",181,Office Supplies,Storage
183,TEC-PH-10003273,AT&T TR1909W,183,Technology,Phones
186,OFF-BI-10001890,Avery Poly Binder Pockets,186,Office Supplies,Binders
187,TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,187,Technology,Accessories
188,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",188,Office Supplies,Storage
190,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",190,Furniture,Bookcases
195,OFF-EN-10001509,Poly String Tie Envelopes,195,Office Supplies,Envelopes
196,OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",196,Office Supplies,Art
198,OFF-ST-10001414,Decoflex Hanging Personal Folder File,198,Office Supplies,Storage
199,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",199,Office Supplies,Binders
201,OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,201,Office Supplies,Paper
202,FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,202,Furniture,Tables
204,OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,204,Office Supplies,Appliances
205,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",205,Furniture,Furnishings
206,TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,206,Technology,Phones
207,OFF-ST-10000642,"Tennsco Lockers, Gray",207,Office Supplies,Storage
212,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,212,Technology,Accessories
213,OFF-LA-10004544,Avery 505,213,Office Supplies,Labels
218,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",218,Office Supplies,Storage
220,OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,220,Office Supplies,Fasteners
226,OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",226,Office Supplies,Art
229,FUR-CH-10004860,Global Low Back Tilter Chair,229,Furniture,Chairs
231,OFF-BI-10001679,GBC Instant Index System for Binding Systems,231,Office Supplies,Binders
232,FUR-TA-10001705,Bush Advantage Collection Round Conference Table,232,Furniture,Tables
237,OFF-PA-10002479,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),237,Office Supplies,Paper
238,OFF-PA-10003349,Xerox 1957,238,Office Supplies,Paper
245,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,245,Furniture,Chairs
250,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",250,Furniture,Chairs
251,OFF-PA-10004569,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",251,Office Supplies,Paper
253,OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy",253,Office Supplies,Storage
255,FUR-FU-10002505,Eldon 100 Class Desk Accessories,255,Furniture,Furnishings
259,TEC-AC-10000290,Sabrent 4-Port USB 2.0 Hub,259,Technology,Accessories
262,OFF-AP-10002203,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,262,Office Supplies,Appliances
263,TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,263,Technology,Machines
265,TEC-PH-10001433,Cisco Small Business SPA 502G VoIP phone,265,Technology,Phones
266,TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,266,Technology,Accessories
267,OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack",267,Office Supplies,Art
268,OFF-FA-10003472,Bagged Rubber Bands,268,Office Supplies,Fasteners
269,OFF-ST-10004180,Safco Commercial Shelving,269,Office Supplies,Storage
271,OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,271,Office Supplies,Storage
272,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,272,Technology,Accessories
275,OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",275,Office Supplies,Paper
277,OFF-PA-10000673,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",277,Office Supplies,Paper
281,OFF-BI-10004967,Round Ring Binders,281,Office Supplies,Binders
283,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",283,Furniture,Tables
284,OFF-PA-10000474,Easy-staple paper,284,Office Supplies,Paper
287,OFF-BI-10000778,GBC VeloBinder Electric Binding Machine,287,Office Supplies,Binders
290,OFF-FA-10002983,Advantus SlideClip Paper Clips,290,Office Supplies,Fasteners
294,FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",294,Furniture,Furnishings
299,OFF-PA-10002105,Xerox 223,299,Office Supplies,Paper
304,FUR-TA-10002533,BPI Conference Tables,304,Furniture,Tables
305,FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,305,Furniture,Furnishings
306,OFF-AR-10003651,Newell 350,306,Office Supplies,Art
307,OFF-BI-10001072,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",307,Office Supplies,Binders
309,OFF-AR-10002804,Faber Castell Col-Erase Pencils,309,Office Supplies,Art
310,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,310,Furniture,Furnishings
314,FUR-FU-10001588,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",314,Furniture,Furnishings
315,TEC-PH-10002398,AT&T 1070 Corded Phone,315,Technology,Phones
317,OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",317,Office Supplies,Art
318,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,318,Furniture,Chairs
323,OFF-FA-10000624,OIC Binder Clips,323,Office Supplies,Fasteners
324,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,324,Office Supplies,Binders
326,FUR-FU-10001967,Telescoping Adjustable Floor Lamp,326,Furniture,Furnishings
327,TEC-PH-10003645,Aastra 57i VoIP phone,327,Technology,Phones
332,TEC-PH-10004614,AT&T 841000 Phone,332,Technology,Phones
335,OFF-BI-10001922,Storex Dura Pro Binders,335,Office Supplies,Binders
338,OFF-BI-10003314,Tuff Stuff Recycled Round Ring Binders,338,Office Supplies,Binders
340,OFF-FA-10000490,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",340,Office Supplies,Fasteners
341,OFF-AR-10000122,Newell 314,341,Office Supplies,Art
345,OFF-ST-10000107,Fellowes Super Stor/Drawer,345,Office Supplies,Storage
346,TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,346,Technology,Phones
347,OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",347,Office Supplies,Art
350,TEC-AC-10000290,Sabrent 4-Port USB 2.0 Hub,350,Technology,Accessories
355,FUR-BO-10002268,Sauder Barrister Bookcases,355,Furniture,Bookcases
359,OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,359,Office Supplies,Paper
360,OFF-AP-10001124,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,360,Office Supplies,Appliances
362,OFF-LA-10001158,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",362,Office Supplies,Labels
366,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",366,Office Supplies,Storage
367,OFF-BI-10002412,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,367,Office Supplies,Binders
371,OFF-PA-10002036,Xerox 1930,371,Office Supplies,Paper
373,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,373,Office Supplies,Binders
377,OFF-PA-10003039,Xerox 1960,377,Office Supplies,Paper
378,FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",378,Furniture,Tables
379,OFF-AP-10000696,Holmes Odor Grabber,379,Office Supplies,Appliances
382,OFF-PA-10004734,Southworth Structures Collection,382,Office Supplies,Paper
384,TEC-AC-10004708,Sony 32GB Class 10 Micro SDHC R40 Memory Card,384,Technology,Accessories
385,FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",385,Furniture,Tables
387,TEC-MA-10001681,Lexmark MarkNet N8150 Wireless Print Server,387,Technology,Machines
389,OFF-AR-10004757,Crayola Colored Pencils,389,Office Supplies,Art
390,OFF-BI-10000050,"Angle-D Binders with Locking Rings, Label Holders",390,Office Supplies,Binders
392,TEC-PH-10003012,Nortel Meridian M3904 Professional Digital phone,392,Technology,Phones
394,OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,394,Office Supplies,Binders
395,OFF-BI-10004492,Tuf-Vin Binders,395,Office Supplies,Binders
396,OFF-ST-10000798,2300 Heavy-Duty Transfer File Systems by Perma,396,Office Supplies,Storage
398,OFF-SU-10002573,"Acme 10"" Easy Grip Assistive Scissors",398,Office Supplies,Supplies
399,OFF-ST-10001580,Super Decoflex Portable Personal File,399,Office Supplies,Storage
403,OFF-PA-10001947,Xerox 1974,403,Office Supplies,Paper
404,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",404,Office Supplies,Art
405,OFF-AP-10004249,Staple holder,405,Office Supplies,Appliances
406,TEC-AC-10000158,Sony 64GB Class 10 Micro SDHC R40 Memory Card,406,Technology,Accessories
415,OFF-PA-10000157,Xerox 191,415,Office Supplies,Paper
417,OFF-AR-10004344,Bulldog Vacuum Base Pencil Sharpener,417,Office Supplies,Art
418,FUR-CH-10004886,Bevis Steel Folding Chairs,418,Furniture,Chairs
419,OFF-PA-10003845,Xerox 1987,419,Office Supplies,Paper
420,OFF-AR-10001573,American Pencil,420,Office Supplies,Art
422,TEC-AC-10004114,KeyTronic 6101 Series - Keyboard - Black,422,Technology,Accessories
423,FUR-FU-10004712,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",423,Furniture,Furnishings
425,FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,425,Furniture,Chairs
426,FUR-FU-10003347,Coloredge Poster Frame,426,Furniture,Furnishings
428,TEC-MA-10000029,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",428,Technology,Machines
429,OFF-AR-10000369,Design Ebony Sketching Pencil,429,Office Supplies,Art
430,OFF-BI-10004584,GBC ProClick 150 Presentation Binding System,430,Office Supplies,Binders
434,OFF-ST-10003306,Letter Size Cart,434,Office Supplies,Storage
435,OFF-BI-10000773,Insertable Tab Post Binder Dividers,435,Office Supplies,Binders
437,TEC-MA-10002937,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",437,Technology,Machines
439,OFF-PA-10002230,Xerox 1897,439,Office Supplies,Paper
440,FUR-CH-10003396,Global Deluxe Steno Chair,440,Furniture,Chairs
441,FUR-FU-10000246,Aluminum Document Frame,441,Furniture,Furnishings
447,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",447,Furniture,Furnishings
448,OFF-AR-10000588,Newell 345,448,Office Supplies,Art
454,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,454,Furniture,Tables
456,TEC-AC-10001772,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,456,Technology,Accessories
457,FUR-CH-10000225,"Global Geo Office Task Chair, Gray",457,Furniture,Chairs
458,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,458,Furniture,Chairs
460,OFF-AP-10002472,3M Office Air Cleaner,460,Office Supplies,Appliances
463,FUR-FU-10000023,Eldon Wave Desk Accessories,463,Furniture,Furnishings
468,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,468,Furniture,Furnishings
469,FUR-BO-10002824,Bush Mission Pointe Library,469,Furniture,Bookcases
470,OFF-BI-10002194,Cardinal Hold-It CD Pocket,470,Office Supplies,Binders
471,OFF-PA-10004071,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",471,Office Supplies,Paper
472,OFF-ST-10002743,SAFCO Boltless Steel Shelving,472,Office Supplies,Storage
478,TEC-PH-10000149,Cisco SPA525G2 IP Phone - Wireless,478,Technology,Phones
479,FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,479,Furniture,Furnishings
480,OFF-AR-10003045,Prang Colored Pencils,480,Office Supplies,Art
482,TEC-AC-10001445,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,482,Technology,Accessories
483,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",483,Office Supplies,Art
485,OFF-LA-10003923,Alphabetical Labels for Top Tab Filing,485,Office Supplies,Labels
488,TEC-PH-10001363,Apple iPhone 5S,488,Technology,Phones
489,TEC-PH-10000376,Square Credit Card Reader,489,Technology,Phones
492,OFF-ST-10001809,Fellowes Officeware Wire Shelving,492,Office Supplies,Storage
494,TEC-AC-10000991,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,494,Technology,Accessories
495,FUR-TA-10001857,Balt Solid Wood Rectangular Table,495,Furniture,Tables
496,OFF-EN-10001434,"Strathmore #10 Envelopes, Ultimate White",496,Office Supplies,Envelopes
497,OFF-BI-10002498,Clear Mylar Reinforcing Strips,497,Office Supplies,Binders
501,OFF-BI-10001670,Vinyl Sectional Post Binders,501,Office Supplies,Binders
506,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",506,Office Supplies,Binders
507,OFF-AR-10001662,Rogers Handheld Barrel Pencil Sharpener,507,Office Supplies,Art
511,FUR-FU-10001290,Executive Impressions Supervisor Wall Clock,511,Furniture,Furnishings
513,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",513,Office Supplies,Art
514,OFF-AR-10003811,Newell 327,514,Office Supplies,Art
516,TEC-CO-10003236,Canon Image Class D660 Copier,516,Technology,Copiers
520,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",520,Technology,Accessories
523,FUR-TA-10001857,Balt Solid Wood Rectangular Table,523,Furniture,Tables
524,TEC-PH-10003555,Motorola HK250 Universal Bluetooth Headset,524,Technology,Phones
526,OFF-FA-10002815,Staples,526,Office Supplies,Fasteners
527,FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,527,Furniture,Chairs
529,OFF-ST-10004963,Eldon Gobal File Keepers,529,Office Supplies,Storage
532,FUR-CH-10000595,Safco Contoured Stacking Chairs,532,Furniture,Chairs
533,FUR-FU-10000448,Tenex Chairmats For Use With Carpeted Floors,533,Furniture,Furnishings
534,TEC-PH-10000984,Panasonic KX-TG9471B,534,Technology,Phones
536,OFF-ST-10001325,Sterilite Officeware Hinged File Box,536,Office Supplies,Storage
537,OFF-BI-10002429,"Premier Elliptical Ring Binder, Black",537,Office Supplies,Binders
538,OFF-BI-10004528,Cardinal Poly Pocket Divider Pockets for Ring Binders,538,Office Supplies,Binders
539,OFF-AP-10001271,Eureka The Boss Cordless Rechargeable Stick Vac,539,Office Supplies,Appliances
541,TEC-AC-10001432,Enermax Aurora Lite Keyboard,541,Technology,Accessories
542,TEC-PH-10002262,LG Electronics Tone+ HBS-730 Bluetooth Headset,542,Technology,Phones
543,OFF-ST-10001809,Fellowes Officeware Wire Shelving,543,Office Supplies,Storage
544,TEC-AC-10001465,SanDisk Cruzer 64 GB USB Flash Drive,544,Technology,Accessories
547,OFF-BI-10000404,Avery Printable Repositionable Plastic Tabs,547,Office Supplies,Binders
549,OFF-ST-10000604,Home/Office Personal File Carts,549,Office Supplies,Storage
552,FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,552,Furniture,Chairs
553,FUR-FU-10003039,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",553,Furniture,Furnishings
554,OFF-FA-10004248,Advantus T-Pin Paper Clips,554,Office Supplies,Fasteners
555,OFF-ST-10001780,Tennsco 16-Compartment Lockers with Coat Rack,555,Office Supplies,Storage
556,OFF-AR-10003560,Zebra Zazzle Fluorescent Highlighters,556,Office Supplies,Art
557,OFF-LA-10001297,Avery 473,557,Office Supplies,Labels
560,FUR-FU-10003347,Coloredge Poster Frame,560,Furniture,Furnishings
562,OFF-AP-10003914,"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts",562,Office Supplies,Appliances
564,OFF-FA-10003467,"Alliance Big Bands Rubber Bands, 12/Pack",564,Office Supplies,Fasteners
566,TEC-PH-10002496,Cisco SPA301,566,Technology,Phones
567,OFF-PA-10004530,Personal Creations Ink Jet Cards and Labels,567,Office Supplies,Paper
571,OFF-LA-10001297,Avery 473,571,Office Supplies,Labels
575,OFF-AR-10003394,Newell 332,575,Office Supplies,Art
576,OFF-PA-10004530,Personal Creations Ink Jet Cards and Labels,576,Office Supplies,Paper
579,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",579,Office Supplies,Storage
581,OFF-SU-10004498,Martin-Yale Premier Letter Opener,581,Office Supplies,Supplies
582,TEC-PH-10004977,GE 30524EE4,582,Technology,Phones
587,FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,587,Furniture,Chairs
589,TEC-PH-10003800,i.Sound Portable Power - 8000 mAh,589,Technology,Phones
593,OFF-AR-10004078,Newell 312,593,Office Supplies,Art
595,OFF-AP-10004708,Fellowes Superior 10 Outlet Split Surge Protector,595,Office Supplies,Appliances
599,OFF-SU-10004115,Acme Stainless Steel Office Snips,599,Office Supplies,Supplies
600,TEC-PH-10001425,Mophie Juice Pack Helium for iPhone,600,Technology,Phones
603,OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",603,Office Supplies,Storage
608,OFF-BI-10000848,Angle-D Ring Binders,608,Office Supplies,Binders
611,TEC-PH-10003012,Nortel Meridian M3904 Professional Digital phone,611,Technology,Phones
613,OFF-PA-10001204,Xerox 1972,613,Office Supplies,Paper
615,TEC-PH-10000011,PureGear Roll-On Screen Protector,615,Technology,Phones
617,FUR-FU-10003849,"DAX Metal Frame, Desktop, Stepped-Edge",617,Furniture,Furnishings
622,OFF-BI-10002103,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",622,Office Supplies,Binders
623,FUR-CH-10004853,"Global Manager's Adjustable Task Chair, Storm",623,Furniture,Chairs
627,FUR-FU-10000221,"Master Caster Door Stop, Brown",627,Furniture,Furnishings
628,OFF-AP-10001563,Belkin Premiere Surge Master II 8-outlet surge protector,628,Office Supplies,Appliances
629,OFF-BI-10000605,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",629,Office Supplies,Binders
631,OFF-ST-10001963,Tennsco Regal Shelving Units,631,Office Supplies,Storage
634,TEC-AC-10002857,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",634,Technology,Accessories
636,FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,636,Furniture,Chairs
637,OFF-BI-10001989,Premium Transparent Presentation Covers by GBC,637,Office Supplies,Binders
639,FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,639,Furniture,Furnishings
